id,checked_out_ohio_id,,KeyCode,Key#,serial_number,name,description,group_name,location_name,,,,,Code,Location,expected_return_date
10000,adamsw1 ,Key,15B1,12,15B1-12,Key 15B1-12,DO Back Door,Keys,Home,,,,,15,Master,2028-05-14
10001,adamsw1 ,Key,15B8,3,15B8-3,Key 15B8-3,102R,Keys,Home,,,,,15B15,104
10002,attaway,Key,15F20,1,15F20-1,Key 15F20-1,225F,Keys,Home,,,,,15B1,DO Back Door
10003,attaway,Key,15F,10,15F-10,Key 15F-10,CTOP Suite,Keys,Home,,,,,15D,SA Suite
10004,baileyc1,Key,15B17,1,15B17-1,Key 15B17-1,102I,Keys,Home,,,,,15D13,SA& UB
10005,baileyc1,Key,15B1,2,15B1-2,Key 15B1-2,DO Back Door,Keys,Home,,,,,15B23,Dissertation
10006,demkob,Key,15B19,2,15B19-2,Key 15B19-2,102E,Keys,Home,,,,,15C,HCS Suite
10007,demkob,Key,15B1,3,15B1-3,Key 15B1-3,DO Back Door,Keys,Home,,,,,15C15,Back Storage Kitchen
10008,harrisl1,Key,15H22,1,15H22-1,Key 15H22-1,309W,Keys,Home,,,,,15E,RSP Suite
10009,harrisl1,Key,15B3,3,15B3-3,Key 15B3-3,102H,Keys,Home,,,,,15G,SLC Suite
10010,harrisl1,Key,15B1,8,15B1-8,Key 15B1-8,DO Back Door,Keys,Home,,,,,15B27,Storage 237
10011,helfrich,Key,15B5,1,15B5-1,Key 15B5-1,102L,Keys,Home,,,,,15F,CTOP Suite
10012,helfrich,Key,15B2,7,15B2-7,Key 15B2-7,102F,Keys,Home,,,,,15F9,238
10013,helfrich,Key,15,13,15-13,Key 15-13,,Keys,Home,,,,,15F8,240
10014,lydic,Key,15,2,15-2,Key 15-2,,Keys,Home,,,,,15F7,242
10015,martinj2,Key,15B10,2,15B10-2,Key 15B10-2,102S,Keys,Home,,,,,15F10,Exp Lab
10016,martinj2,Key,15B8,2,15B8-2,Key 15B8-2,102R,Keys,Home,,,,,15H2,220
10017,martinj2,Key,15B1,4,15B1-4,Key 15B1-4,DO Back Door,Keys,Home,,,,,15K,ES Suite
10018,meekse,Key,6E1,2015,6E1-2015,Key 6E1-2015,OHIO Classroom,Keys,Home,,,,,15K1,ES Back Door
10019,nguyend4,Key,15S4,2,15S4-2,Key 15S4-2,432C,Keys,Home,,,,,15H,TE Suite
10020,nguyend4,Key,15S1,1,15S1-1,Key 15S1-1,CHE Back Door,Keys,Home,,,,,15J,OCEMS Suite
10021,patterc1,Key,15B2,1,15B2-1,Key 15B2-1,102F,Keys,Home,,,,,15H40,335/335A
10022,patterc1,Key,15B29,10,15B29-10,Key 15B29-10,Seminar Rooms,Keys,Home,,,,,15H39,331/331A
10023,ricer,Key,15B4,3,15B4-3,Key 15B4-3,102J,Keys,Home,,,,,15S,CHE Suite
10024,ricer,Key,15B1,13,15B1-13,Key 15B1-13,DO Back Door,Keys,Home,,,,,15S1,CHE Back Door
10025,lawrenck,Key,6E1,2579,6E1-2579,Key 6E1-2579,OHIO Classroom,Keys,Home,,,,,15T,Hill Center Master
10026,watsonh,Key,15,7,15-7,Key 15-7,,Keys,Home,,,,,15N,CTOP Annex
10027,watsonh,Key,6E1,,6E1-,Key 6E1-,OHIO Classroom,Keys,Home,,,,,15K24,Stat Lab 434
10028,backese,Key,15F16,3,15F16-3,Key 15F16-3,225B,Keys,Home,,,,,15B29,Seminar Rooms
10029,backese,Key,15F20,2,15F20-2,Key 15F20-2,225F,Keys,Home,,,,,15M,PDS Master
10030,backese,Key,15F17,3,15F17-3,Key 15F17-3,225C,Keys,Home,,,,,15L1,CORAS Suite
10031,backese,Key,15F21,2,15F21-2,Key 15F21-2,225D,Keys,Home,,,,,15C1,Kitchen - Textile Labs
10032,backese,Key,15F19,2,15F19-2,Key 15F19-2,225G,Keys,Home,,,,,15B22,102A
10033,backese,Key,15F18,3,15F18-3,Key 15F18-3,225E,Keys,Home,,,,,15B21,102B -102C
10034,backese,Key,15F16,2,15F16-2,Key 15F16-2,225B,Keys,Home,,,,,15B20,102D
10035,backese,Key,15F,7,15F-7,Key 15F-7,CTOP Suite,Keys,Home,,,,,15B19,102E
10036,backese,Key,15F17,1,15F17-1,Key 15F17-1,225C,Keys,Home,,,,,15B2,102F
10037,backese,Key,15F17,2,15F17-2,Key 15F17-2,225C,Keys,Home,,,,,15B18,102G
10038,backese,Key,15F17,,15F17-,Key 15F17-,225C,Keys,Home,,,,,15B3,102H
10039,bhatc,Key,15S7,3,15S7-3,Key 15S7-3,432F,Keys,Home,,,,,15B17,102I
10040,bhatc,Key,15S1,8,15S1-8,Key 15S1-8,CHE Back Door,Keys,Home,,,,,15B4,102J
10041,davist,Key,15B28,1,15B28-1,Key 15B28-1,324,Keys,Home,,,,,15B12,102K
10042,davist,Key,6E1,2023,6E1-2023,Key 6E1-2023,OHIO Classroom,Keys,Home,,,,,15B5,102L
10043,erby,Key,15T2,3,15T2-3,Key 15T2-3,437A,Keys,Home,,,,,15B11,102M
10044,erby,Key,15T4,3,15T4-3,Key 15T4-3,437C,Keys,Home,,,,,15B6,102N
10045,erby,Key,15T3,3,15T3-3,Key 15T3-3,437B,Keys,Home,,,,,15B7,102O/102P
10046,erby,Key,15T5,3,15T5-3,Key 15T5-3,437D,Keys,Home,,,,,15B8,102R
10047,erby,Key,15T6,2,15T6-2,Key 15T6-2,437E,Keys,Home,,,,,15B10,102S
10048,erby,Key,15T7,1,15T7-1,Key 15T7-1,437F,Keys,Home,,,,,15B9,102T
10049,erby,Key,15T8,3,15T8-3,Key 15T8-3,437G,Keys,Home,,,,,15B16,102U
10050,erby,Key,15T9,2,15T9-2,Key 15T9-2,437H,Keys,Home,,,,,15B14,102W
10051,erby,Key,15T10,3,15T10-3,Key 15T10-3,437J,Keys,Home,,,,,15B13,102Y
10052,erby,Key,15T13,3,15T13-3,Key 15T13-3,437K,Keys,Home,,,,,15D22,103B
10053,foremant,Key,15S8,3,15S8-3,Key 15S8-3,432G,Keys,Home,,,,,15D21,103C
10054,foremant,Key,15S12,4,15S12-4,Key 15S12-4,432L,Keys,Home,,,,,15D20,103D
10055,foremant,Key,15S1,3,15S1-3,Key 15S1-3,CHE Back Door,Keys,Home,,,,,15D19,103E
10056,foremant,Key,15T2,1,15T2-1,Key 15T2-1,437A,Keys,Home,,,,,15D18,103F
10057,harrisol,Key,15S2,3,15S2-3,Key 15S2-3,432A,Keys,Home,,,,,15D17,103G
10058,harrisol,Key,15B29,13,15B29-13,Key 15B29-13,Seminar Rooms,Keys,Home,,,,,15D16,103H
10059,harrisol,Key,15N2,,15N2-,Key 15N2-,400A,Keys,Home,,,,,15D15,103J
10060,mcclais1,Key,15S6,2,15S6-2,Key 15S6-2,432E,Keys,Home,,,,,15D5,103K
10061,mcclais1,Key,15C9,3,15C9-3,Key 15C9-3,121F,Keys,Home,,,,,15D6,103L
10062,mcclais1,Key,15S,1,15S-1,Key 15S-1,CHE Suite,Keys,Home,,,,,15D12,103M
10063,mcclais1,Key,15C,1,15C-1,Key 15C-1,HCS Suite,Keys,Home,,,,,15D7,103N
10064,mcclais1,Key,15B23,8,15B23-8,Key 15B23-8,Dissertation,Keys,Home,,,,,15D11,103P
10065,middletr,Key,15,8,15-8,Key 15-8,,Keys,Home,,,,,15D8,103Q
10066,middletr,Key,6E1,2560,6E1-2560,Key 6E1-2560,OHIO Classroom,Keys,Home,,,,,15D10,103R
10067,middletr,Key,15B5,2,15B5-2,Key 15B5-2,102L,Keys,Home,,,,,15D9,103S
10068,middletr,Key,15S10,3,15S10-3,Key 15S10-3,432J,Keys,Home,,,,,15C12,121A
10069,middletr,Key,15S1,10,15S1-10,Key 15S1-10,CHE Back Door,Keys,Home,,,,,15C13,121B
